,word,frequency,probability
274,kakung,1051,0.0012215916025166413
340,yung,1050,0.0012204292889081575
90,aduang,1046,0.0012157800344742217
1116,sundalus,1045,0.0012146177208657376
7518,david,1044,0.0012134554072572537
30,ikit,1036,0.001204156898389382
141,bage,1031,0.0011983453303469622
82,panaun,1027,0.0011936960759130265
341,kayabe,1026,0.0011925337623045424
1905,kautusan,1023,0.0011890468214790905
1918,sasabian,1006,0.0011692874901348632
440,kasalanan,1000,0.0011623136084839595
562,mete,992,0.0011530150996160878
112,ye,991,0.001151852786007604
539,bilang,989,0.001149528158790636
131,tamu,986,0.001146041217965184
66,balang,982,0.0011413919635312481
194,bie,970,0.0011274442002294407
558,aliwa,961,0.001116983377753085
355,kapamilatan,958,0.0011134964369276332
972,balen,950,0.0011041979280597615
1312,kekayung,931,0.0010821139694985663
3187,moises,925,0.0010751400878476626
1158,pari,914,0.001062354638154339
6684,jerusalem,913,0.0010611923245458551
322,sarili,908,0.0010553807565034353
1142,kalaban,892,0.0010367837387676919
1075,aring,890,0.001034459111550724
1325,bale,851,0.0009891288808198495
789,potang,850,0.0009879665672113656
953,buri,848,0.0009856419399943976
399,kapilan,837,0.0009728564903010741
447,kapatad,823,0.0009565840997822986
867,ehipto,823,0.0009565840997822986
1029,iting,818,0.0009507725317398788
17,kabang,817,0.0009496102181313949
5026,templo,814,0.0009461232773059431
174,nanu,812,0.0009437986500889751
163,depat,811,0.0009426363364804911
554,lalaking,801,0.0009310132003956515
137,babai,792,0.000920552377919296
278,tata,789,0.0009170654370938441
395,kalupa,787,0.0009147408098768761
148,mabilug,779,0.0009054423010090044
44,maragul,778,0.0009042799874005205
83,ampon,777,0.0009031176737920365
695,bunduk,764,0.0008880075968817451
219,nu,759,0.0008821960288393253
1933,kaku,757,0.0008798714016223573
122,antimo,746,0.0008670859519290338
263,binie,738,0.0008577874430611621
213,lagyu,725,0.0008426773661508706
726,gamat,709,0.0008240803484151273
1517,sabla,704,0.0008182687803727075
1013,sana,702,0.0008159441531557396
184,namang,702,0.0008159441531557396
2119,juda,698,0.0008112948987218037
39,miras,694,0.0008066456442878679
375,kailangan,693,0.0008054833306793839
281,asawa,690,0.000801996389853932
206,tungkul,689,0.000800834076245448
349,ika,685,0.0007961848218115122
304,daptan,685,0.0007961848218115122
538,aliwang,680,0.0007903732537690925
515,manuknangan,672,0.0007810747449012208
121,animal,668,0.0007764254904672849
622,lub,667,0.0007752631768588009
353,manibat,662,0.0007694516088163812
165,banal,657,0.0007636400407739614
547,lahi,657,0.0007636400407739614
71,kilub,656,0.0007624777271654775
535,pasibayu,642,0.0007462053366467019
171,kanitang,642,0.0007462053366467019
249,mate,641,0.0007450430230382181
209,meging,641,0.0007450430230382181
15842,cristo,638,0.0007415560822127662
1173,nune,636,0.0007392314549957982
1416,kami,634,0.0007369068277788304
